"","lon","lat"
"12",-71.7,43.2
"13",-106.5,35.1
"14",-81.1,32.1
"15",-122.1,47.4
"17",-107.7,38
"18",-93.2,43.1
"19",-75.6,39.3
"20",-122.3,37.8
"21",-76.6,39.4
"22",-121.1,39
"23",-87.4,46.6
"24",-106.5,35.1
"25",-84.4,33.8
"26",-108.7,39.1
"27",-117.1,32.7
"28",-122,47.5
"29",-89.3,30.4
"30",-73.2,41.8
"32",-91.5,41.6
"33",-121.3,44
"34",-71.1,42.3
"36",-116.8,43.9
"37",-72.5,42.3
"38",-105,39.6
"39",-84.4,39.1
"40",-77.9,39.3
"41",-73.7,42.8
"42",-97.5,35.6
"43",-88.4,38.4
"44",-69.5,44.2
"46",-74.1,40.4
"47",-81.8,41.5
"50",-79.8,39.5
"51",-71.1,42.2
"52",-111,32.2
"53",-74.1,40.7
"55",-73.9,41
"56",-77.1,39
"57",-74,40.7
"58",-72.5,42.4
"59",-83.7,32.7
"61",-74,40.8
"62",-73.9,40.7
"63",-78.8,39.3
"65",-74,40.7
"66",-70.3,43.7
"67",-73.9,40.7
"70",-119.6,39.4
"72",-116.2,43.6
"74",-91.1,46.2
"75",-120.5,40.3
"76",-89.4,31.5
"77",-77,38.9
"81",-106.6,35.1
"88",-80.7,33.4
"90",-95.4,29.7
"93",-88,42.1
"95",-89.4,40.7
"100",-106.7,35.1
"101",-84.3,33.8
"102",-71.1,42.3
"106",-86.7,34.7
"107",-83.1,42.3
"109",-74,40.8
"112",-71.2,42.3
"115",-71.1,42.4
"118",-78,35.6
"119",-80.3,36.4
"121",-122.3,47.6
"123",-97.5,37.7
"124",-96.8,32.9
"127",-77.1,38.9
"128",-105.1,39.8
"129",-75.4,40.6
"131",-78.6,35.7
"132",-121.9,37.5
"133",-91.8,45.9
"134",-87.7,41.7
"136",-84.6,38.2
"137",-105.1,39.6
"139",-111,45.6
"140",-96.8,33
"141",-122.5,48.8
"142",-92.3,38.9
"143",-121.8,39.7
"144",-79.2,36
"145",-93.6,41.7
"147",-78.4,34
"150",-85.2,39.4
"152",-123.9,47
"153",-80.4,39.5
"155",-78.9,35.9
"158",-78.8,35.6
"160",-87.7,41.9
"162",-79.1,35.8
"163",-122.3,37.9
"164",-80.9,35.3
"167",-91.7,37
"168",-78.7,35.8
"170",-83.9,36.1
"173",-76.5,42.5
"174",-122,47.3
"175",-107,40.8
"179",-87.2,30.5
"180",-71.1,42.3
"182",-78.8,35.6
"185",-71.2,42.5
"186",-122.9,40.7
"187",-122.6,47.6
"189",-78.5,38
"190",-78.9,35.8
"191",-78.8,35.6
"192",-74.6,40.5
"193",-78.9,36
"194",-77,35.5
"195",-78.3,35.9
"196",-76.6,39.3
"198",-79.1,33.9
"199",-122.6,45.5
"202",-88.2,41.8
"203",-78.7,35.8
"204",-75.2,39.9
"205",-79.1,36.2
"206",-75,39.9
"208",-122.4,40.3
"209",-77.9,34.2
"210",-75.8,41.1
"212",-87.7,41.9
"213",-97.4,42.4
"214",-76.5,38.3
"215",-80.2,40.3
"216",-84.9,39.8
"217",-81.7,38.4
"218",-91.6,42
"220",-115.3,36.1
"222",-79.8,36.1
"224",-80.6,36.5
"225",-83.6,42.7
"226",-87.1,36.5
"227",-86.7,34.7
"228",-78.9,40.3
"230",-97.1,36.1
"231",-77.1,39
"232",-120.5,37.3
"233",-80,40.5
"234",-71.4,42.4
"235",-85.8,38.2
"236",-122.1,37.9
"237",-82.4,35.3
"238",-105,39.7
"239",-80,32.7
"240",-77,38.9
"242",-122.6,45.5
"243",-121.8,37.7
"244",-76.9,39
"245",-105,39.7
"247",-87.8,43.5
"248",-105.3,40
"249",-73.4,41.7
"250",-71.7,42.3
"251",-74.9,40.6
"252",-78.9,35.9
"253",-79,36
"254",-79.9,40.6
"255",-71.2,42.6
"256",-118.1,33.8
"257",-93.3,44.9
"258",-75.8,39.6
"260",-83.1,34.7
"261",-114.4,35
"262",-96.7,32.9
"263",-76.8,40.4
"264",-122.9,47.6
"265",-78.6,35.8
"266",-80.2,32.9
"268",-90.4,43.3
"270",-92.9,44.9
"271",-79,36
"272",-78.8,35.8
"273",-71.1,42.4
"274",-77.1,38.8
"275",-82.6,27.7
"276",-75.1,39.8
"277",-79.9,37.3
"278",-71.4,42.4
"279",-101.9,35
"280",-72.7,41.7
"281",-78.6,36.1
"282",-77.5,37.5
"283",-71.5,42.5
"285",-87.7,41.9
"286",-75.2,40
"287",-75.1,40
"288",-73.3,40.9
"289",-117.7,34.1
"290",-93.6,45.5
"292",-122.3,47.7
"293",-87.9,42.5
"294",-77,38.9
"295",-79.1,35.9
"296",-106.3,35.2
"298",-86.2,39.7
"299",-82.4,29.6
"300",-107.6,37.3
"302",-103.8,36.8
"303",-77,39
"305",-88.3,40.1
"306",-97.6,38.8
"307",-78.8,35.8
"308",-122.2,37.9
"309",-81.8,28.1
"311",-79.1,35.9
"312",-74.5,41.6
"313",-72.5,42.4
"314",-82.2,28.2
"316",-80.3,36.1
"317",-79.9,37
"318",-81.2,38
"319",-79.1,35.8
"320",-96.2,33.6
"321",-77.6,43.2
"322",-96.4,30.6
"323",-78.9,36.1
"325",-90.1,30
"326",-71.3,42.4
"327",-95.8,29.7
"328",-74,40.7
"329",-122.4,37.8
"330",-118.5,34
"331",-89.7,43.5
"332",-71.1,42.4
"333",-93.2,44.9
"334",-74,40.7
"335",-78.8,38.7
"336",-93.6,42
"337",-89,42.5
"338",-121.7,37.7
"339",-80,42.1
"340",-117.9,33.8
"341",-72.2,41.7
"342",-122.3,37.6
"343",-122.4,47.6
"344",-122.5,47.2
"345",-81.8,26.3
"346",-83.7,42.3
"348",-106.4,31.9
"349",-92.1,30.2
"350",-122.4,47.1
"351",-74,40.8
"353",-112.4,34.8
"355",-84.3,36
"357",-92.3,39
"358",-76.6,39.1
"360",-122.8,45.4
"363",-78.4,36.1
"364",-77.4,34.5
"366",-90,43.5
"367",-80.3,40.6
"368",-117.2,32.9
"369",-97.4,32.6
"370",-117.1,32.7
"371",-122.3,38
"373",-92.6,37
"374",-122.6,45.5
"375",-72.6,42.1
"377",-71.1,42.4
"381",-122.1,37.6
"382",-73.9,40.8
"383",-78.9,36
"384",-89.5,43
"385",-116.4,43.6
"386",-90.1,30
"391",-78.7,35.9
"392",-124.2,40.7
"393",-74.2,41.8
"396",-89.2,42.9
"397",-116.7,33.7
"398",-123.2,44.6
"399",-94.2,36.3
"400",-78.8,43
"401",-105.1,40
"403",-74.9,40.3
"405",-77,38.9
"407",-122.7,38.2
"408",-72.2,43.8
"409",-78.9,35.8
"410",-79.1,36.1
"411",-71.1,42.4
"412",-74,40.7
"416",-78.4,35.9
"418",-82.7,35.6
"419",-95.7,29.8
"421",-84.1,34.2
"422",-80.1,40.4
"423",-89.1,41.3
"424",-79.1,35.9
"425",-79,35.9
"426",-95.8,39
"428",-82.9,31.7
"429",-78.7,36.2
"430",-78.9,43
"432",-117.6,34.1
"433",-78.4,38.2
"434",-86,39.4
"435",-78.9,35.9
"436",-122.2,47.7
"437",-79.2,37.4
"438",-115.2,36.3
"439",-74.8,42.8
"440",-82.1,35.2
"441",-122.3,37.8
"442",-122,37.1
"444",-95.9,33.4
"445",-123.2,46.2
"446",-78.7,35.8
"447",-82.3,29.7
"448",-87.9,43.1
"451",-74.7,40.2
"452",-77,39
"453",-71.2,42.3
"454",-73.4,42.3
"455",-78.4,35.9
"457",-80.8,35.2
"460",-84.4,33.7
"461",-78.5,37.8
"462",-75.7,41.5
"463",-77.8,42.2
"464",-72.9,41.7
"465",-78.8,35.8
"466",-84.7,39.5
"467",-71.1,42.3
"469",-90.7,33.7
"470",-81.9,26.6
"471",-77.5,39.4
"473",-110.6,45.6
"474",-80.8,35.2
"475",-88.8,41.9
"476",-87.9,41.9
"478",-87.9,43.4
"479",-81,34
"480",-91.6,43.9
"481",-79,36.2
"482",-82.5,37.2
"483",-78.5,35.9
"484",-78.6,35.7
"485",-122.8,45.5
"486",-74.3,40.7
"489",-97.7,30.2
"490",-92.1,46.7
"491",-82.9,42.7
"493",-81.3,35.8
"494",-84.5,38
"495",-83.3,42.3
"496",-122.3,37.9
"497",-92.3,43.1
"498",-122.1,37.4
"499",-75.6,41.5
"500",-96.3,30.8
"501",-75.8,40
"502",-71.1,42.4
"503",-80.8,35
"504",-105.8,32.8
"505",-122.7,45.6
"506",-82.3,29.7
"507",-87.1,45.8
"508",-121.9,37.3
"509",-122.2,37.8
"510",-105,39.7
"511",-86.7,34.7
"512",-73.2,44.5
"513",-121.7,38.5
"515",-78.8,35.8
"517",-97,36
"519",-104.8,38.8
"520",-71.6,43.4
"521",-71.1,42.4
"522",-79.6,40.3
"523",-77.8,40.8
"524",-114,46.9
"525",-91,41.6
"526",-112,33.8
"527",-79,35.9
"528",-80.7,32.4
"530",-122.4,47.6
"531",-84.2,34
"532",-93,43.7
"533",-83,40.1
"534",-78.8,35.8
"535",-71.6,42.8
"536",-82.4,28
"537",-122.6,45.5
"539",-90.6,38.8
"540",-122,37
"541",-78.6,35.8
"543",-79.1,39.6
"544",-90.2,38.6
"546",-119.8,34.4
"547",-84.3,33.9
"548",-97.4,31.1
"550",-82.5,27.3
