"","City","State","MeanAnnual.Temperature","MeanAnnualPrecipitation","NetPrimaryProductivity","Elevation","Residence","NumberBedroooms"
"12","Hopkinton","NH",6.960091743,87.59441896,2.144495766,222.6697235,"A mobile home","3"
"13","Albuquerque","NM",10.76146789,26.16360856,0.621555117,1708.676392,"One-family house detached from any other house","3"
"14","Savannah","GA",19.11391437,102.441208,2.431253787,11.96749973,"One-family house detached from any other house","2"
"15","Renton","WA",11.17285933,85.4941896,2.186705014,144.7330322,"One-family house detached from any other house","4"
"17","Ouray","CO",3.639831804,37.23990826,0.998599335,2571.946045,"One-family house detached from any other house","2"
"18","Mason City","IA",7.587155963,63.1601682,0.823516054,367.7772217,"One-family house detached from any other house","3"
"19","Smyrna","DE",12.85649847,92.8779052,1.110463358,12.62528801,"One-family house detached from any other house","3"
"20","Oakland","CA",14.09617737,41.10183486,1.87041945,115.6696014,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"21","Towson","MD",12.43012232,89.19495413,1.302771058,92.84095764,"One-family house detached from any other house","3"
"22","Auburn","CA",15.52576453,46.77752294,2.042663539,112.7744446,"One-family house detached from any other house","2"
"23","Marquete","MI",4.496100917,65.20542813,NA,187.7169495,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"24","Albuquerque","NM",9.141131498,30.73425076,0.621555117,1968.953003,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","2"
"25","Atlanta","GA",16.65221713,102.9034404,2.095661718,274.2244568,"High rise apartment (multiple units, with 5 or more stories)","1"
"26","Grand Junction","CO",9.066896024,22.41406728,0.420162023,1721.291138,"One-family house detached from any other house","4"
"27","San Diego","CA",16.81697248,22.42683486,1.389839487,103.6060028,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","4"
"28","Issaquah","WA",8.907721713,193.8493884,2.014082378,753.8516846,"One-family house detached from any other house","4"
"29","DIAMONDHEAD","MS",20.10244648,128.9729358,3.629580571,10.37857628,"One-family house detached from any other house","3"
"30","Torrington","CT",8.895259939,98.1559633,2.138249549,266.0041809,"One-family house detached from any other house","2"
"32","Iowa City","IA",9.620107034,69.42721713,0.994245918,239.0658264,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"33","bend","OR",8.230428135,30.24136086,0.579345851,990.0255737,"Duplex or two-family house (designed for two families)","3"
"34","Brookline","MA",9.388990826,94.63203364,NA,52.88596344,"Duplex or two-family house (designed for two families)","3"
"36","New Plymouth","ID",11.16330275,20.24159021,0.388741671,749.1513672,"One-family house detached from any other house","4"
"37","Amherst","MA",8.512844037,94.40588685,2.191815567,198.4830627,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"38","Littleton","CO",6.594877676,32.73715596,0.430572381,2119.006104,"One-family house detached from any other house","4"
"39","Cincinnati","OH",11.8,81.8867737,1.131284071,239.0194397,"One-family house detached from any other house","3"
"40","Charles Town","WV",12.68478593,84.65328746,1.19715324,163.789444,"One-family house detached from any other house","3"
"41","Troy","NY",8.571865443,80.23876147,2.103043601,122.0966644,"Duplex or two-family house (designed for two families)","3"
"42","EDMOND","OK",16.20550459,71.10703364,0.639725923,313.6911011,"One-family house detached from any other house","3"
"43","FAIRFIELD","IL",13.21796636,87.52683486,1.065225621,126.6911087,"One-family house detached from any other house","2"
"44","Jefferson","ME",6.671330275,95.28608563,1.977551487,68.29943848,"One-family house detached from any other house","2"
"46","Red Bank","NJ",11.50688073,97.69892966,1.916603583,30.44665909,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","3"
"47","Cleveland","OH",9.56146789,75.65718654,NA,283.1663818,"One-family house detached from any other house","4"
"50","Reedsville","WV",10.47224771,93.0866208,2.201279529,471.0052795,"One-family house detached from any other house","3"
"51","Dedham","MA",9.388990826,94.63203364,NA,52.88596344,"One-family house detached from any other house","2"
"52","Tucson","AZ",20.41834862,22.03715596,0.306405209,762.9927979,"One-family house detached from any other house","3"
"53","Jersey City","NJ",11.15,97.4837156,2.213204125,60.80302048,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"55","Tappan","NY",10.60825688,101.411315,2.213204125,127.7934723,"One-family house detached from any other house","3"
"56","Washington","DC",14.01888379,87.26605505,1.81817838,64.78483582,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","3"
"57","New York","NY",11.81796636,92.61200306,2.213204125,23.8580265,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"58","Amherst","MA",8.512844037,94.40588685,2.191815567,198.4830627,"One-family house detached from any other house","3"
"59","macon","GA",18.10107034,95.51941896,2.086765599,130.1658325,"One-family house detached from any other house","3"
"61","New York","NY",11.81796636,92.61200306,2.213204125,23.8580265,"High rise apartment (multiple units, with 5 or more stories)","2"
"62","Long Island CIty","NY",11.81796636,92.61200306,2.213204125,23.8580265,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"63","Romney","WV",11.51085627,81.63058104,2.057427327,401.2008362,"One-family house detached from any other house","4"
"65","Brooklyn","NY",11.81796636,92.61200306,2.213204125,23.8580265,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"66","Portland","ME",7.452217125,90.46429664,2.157556027,56.46136093,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"67","Jackson Heights","NY",11.81796636,92.61200306,2.213204125,23.8580265,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"70","Reno","NV",7.274770642,39.70099388,0.299023321,1835.525024,"One-family house detached from any other house","3"
"72","boise","ID",9.471559633,35.03555046,0.585970623,1087.946655,"One-family house detached from any other house","4"
"74","Cable","WI",4.761009174,56.45,2.052127496,398.8336182,"One-family house detached from any other house","4"
"75","Janesville","CA",9.422706422,34.1074159,0.355428528,1461.269775,"One-family house detached from any other house","3"
"76","moselle","MS",18.38256881,119.1644495,2.133517574,89.10722351,"One-family house detached from any other house","3"
"77","Washington","DC",14.01888379,87.26605505,1.81817838,64.78483582,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","4"
"81","Albuquerque","NM",10.76146789,26.16360856,0.621555117,1708.676392,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"88","Bowman","SC",18.16391437,98.39495413,2.034335257,37.77555466,"One-family house detached from any other house","3"
"90","Houston","TX",20.45542813,93.55756881,2.567534829,14.17661858,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"93","Arlington Heights","IL",9.173165138,70.7617737,NA,189.6425018,"One-family house detached from any other house","4"
"95","Washington","IL",10.37446483,73.36498471,0.902445487,217.1658325,"One-family house detached from any other house","2"
"100","albuquerque","NM",10.76146789,26.16360856,0.281041793,1708.676392,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","3"
"101","Atlanta","GA",16.65221713,102.9034404,2.095661718,274.2244568,"One-family house detached from any other house","2"
"102","Jamaica Plain","MA",9.388990826,94.63203364,NA,52.88596344,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"106","Huntsville","AL",15.94151376,114.7675076,1.581957906,220.6450043,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"107","Detroit","MI",9.307874618,67.98195719,1.139612358,191.672226,"High rise apartment (multiple units, with 5 or more stories)","1"
"109","New York","NY",11.81796636,92.61200306,2.213204125,23.8580265,"High rise apartment (multiple units, with 5 or more stories)","1"
"112","Brighton","MA",9.388990826,94.63203364,1.966573293,52.88596344,"High rise apartment (multiple units, with 5 or more stories)","1"
"115","Somerville","MA",9.388990826,94.63203364,NA,52.88596344,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"118","Fremont","NC",15.61567278,103.8310398,1.19734252,29.16361046,"One-family house detached from any other house","5"
"119","King ","NC",14.2883792,90.05229358,2.390558752,275.8555603,"One-family house detached from any other house","3"
"121","Seattle","WA",11.1014526,79.94380734,2.608986975,84.25081635,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","1"
"123","Wichita","KS",13.80764526,65.90351682,0.809509391,409.2113953,"One-family house detached from any other house","4"
"124","Dallas","TX",18.8132263,75.17469419,0.778656872,155.8502808,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","2"
"127","Arlington","VA",14.01888379,87.26605505,1.81817838,64.78483582,"One-family house detached from any other house","6 or more"
"128","Wheat Ridge","CO",6.594877676,32.73715596,0.720737433,2119.006104,"One-family house detached from any other house","4"
"129","Bethlehem","PA",9.728287462,96.59143731,2.212825568,179.5874939,"One-family house detached from any other house","3"
"131","Garner","NC",15.40512232,94.05412844,2.156420352,96.75722504,"One-family house detached from any other house","3"
"132","Fremont","CA",13.85175841,44.68448012,1.116520292,247.8677826,"One-family house detached from any other house","4"
"133","Washburn","WI",5.420183486,55.36536697,1.707260746,374.1994324,"One-family house detached from any other house","3"
"134","Chicago","IL",9.759174312,71.12874618,NA,193.5566711,"One-family house detached from any other house","3"
"136","Georgetown","KY",12.66391437,90.56704893,1.379807691,245.2419434,"One-family house detached from any other house","3"
"137","Littleton","CO",6.594877676,32.73715596,0.793231381,2119.006104,"One-family house detached from any other house","2"
"139","Bozeman","MT",6.116437309,36.17744648,0.632911872,1528.734985,"One-family house detached from any other house","3"
"140","Dallas","TX",18.8132263,75.17469419,0.778656872,155.8502808,"One-family house detached from any other house","4"
"141","Waldron","WA",9.857798165,63.85282875,1.958244997,60.28440475,"One-family house detached from any other house","2"
"142","Columbia","MO",12.78172783,79.97920489,1.027937615,221.4455566,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","2"
"143","Chico","CA",14.7559633,71.67958716,1.623220774,300.1264038,"One-family house detached from any other house","4"
"144","Efland","NC",14.44793578,93.73470948,1.297092668,190.2480621,"One-family house detached from any other house","3"
"145","Ankeny","IA",9.632492355,67.21873089,0.791527867,290.4547119,"One-family house detached from any other house","5"
"147","Shallotte","NC",17.44082569,110.7892202,3.703020897,14.0047226,"One-family house detached from any other house","3"
"150","Oldenburg","IN",11.38394495,87.39984709,1.071850393,282.6941528,"One-family house detached from any other house","4"
"152","Hoquiam","WA",9.770107034,166.9626911,2.655549664,111.3550644,"One-family house detached from any other house","3"
"153","Mannington","WV",10.84633028,94.14067278,2.112318287,368.5216675,"One-family house detached from any other house","2"
"155","Durham","NC",15.40512232,94.05412844,1.698932469,96.75722504,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","3"
"158","Fuquay varina","NC",15.40512232,94.05412844,1.824235313,96.75722504,"One-family house detached from any other house","3"
"160","Chicago","IL",9.759174312,71.12874618,NA,193.5566711,"One-family house detached from any other house","4"
"162","Pittsboro","NC",14.88906728,97.33899083,1.698932469,136.7336121,"One-family house detached from any other house","3"
"163","El Cerrito","CA",14.09617737,41.10183486,1.87041945,115.6696014,"One-family house detached from any other house","2"
"164","Charlotte","NC",16.00198777,93.89120795,1.29519988,201.6608276,"One-family house detached from any other house","3"
"167","Mountain View","MO",14.34892966,90.01062691,1.762719565,300.2277832,"One-family house detached from any other house","2"
"168","Raleigh","NC",15.40512232,94.05412844,1.698932469,96.75722504,"One-family house detached from any other house","2"
"170","Knoxviile","TN",13.64006116,100.1743884,1.977740765,374.2161255,"One-family house detached from any other house","3"
"173","Ithaca","NY",8.153975535,75.55611621,1.517035135,389.7213745,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"174","Maple Valley","WA",11.17285933,85.4941896,2.014082378,144.7330322,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","2"
"175","Clark","CO",1.492584098,37.09388379,0.482245612,2724.314941,"One-family house detached from any other house","3"
"179","pensacola","FL",19.70512232,128.8840979,2.464377652,45.30992508,"One-family house detached from any other house","4"
"180","Brookline","MA",9.388990826,94.63203364,NA,52.88596344,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","2"
"182","Holly Springs","NC",15.40512232,94.05412844,1.824235313,96.75722504,"One-family house detached from any other house","3"
"185","Woburn","MA",9.388990826,94.63203364,1.966573293,52.88596344,"One-family house detached from any other house","4"
"186","Douglas City","CA",10.88761468,84.51261468,1.460251367,1008.835266,"A mobile home","2"
"187","Bremerton","WA",10.28356269,89.03990826,2.333964267,162.8851624,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"189","Charlottesville","VA",12.62285933,80.3851682,1.514006662,400.1588745,"One-family house detached from any other house","4"
"190","Cary","NC",15.40512232,94.05412844,1.698932469,96.75722504,"One-family house detached from any other house","2"
"191","Holly Springs","NC",15.40512232,94.05412844,1.824235313,96.75722504,"One-family house detached from any other house","4"
"192","Manville","NJ",9.860703364,99.49067278,NA,165.7169495,"Duplex or two-family house (designed for two families)","2"
"193","Durham","NC",14.54518349,92.76712538,1.698932469,137.7061157,"One-family house detached from any other house","4"
"194","Washington","NC",15.74105505,103.4383028,1.708207147,13.31333351,"One-family house detached from any other house","3"
"195","Zebulon","NC",15.43333333,101.2742355,2.156420352,71.52583313,"One-family house detached from any other house","3"
"196","Baltimore","MD",12.43012232,89.19495413,1.302771058,92.84095764,"High rise apartment (multiple units, with 5 or more stories)","1"
"198","Conway","SC",17.80917431,100.6870795,1.655966085,10.27466393,"One-family house detached from any other house","3"
"199","Portland","OR",10.72392966,91.80917431,1.927392495,120.6025009,"One-family house detached from any other house","3"
"202","Naperville","IL",9.353211009,74.33493884,1.097781639,214.6983337,"One-family house detached from any other house","4"
"203","Raleigh","NC",15.40512232,94.05412844,1.698932469,96.75722504,"One-family house detached from any other house","3"
"204","ph","PA",12.40282875,91.6633792,1.236334048,25.62282181,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","6 or more"
"205","CEDAR GROVE","NC",14.44793578,93.73470948,2.011053903,190.2480621,"One-family house detached from any other house","2"
"206","Cherry Hill","NJ",12.05818043,94.8633792,1.464604782,22.87888908,"One-family house detached from any other house","4"
"208","Cottonwood","CA",16.75902141,58.58707951,1.407063904,181.367218,"One-family house detached from any other house","1"
"209","Wilmington","NC",17.57576453,113.565367,2.933790122,6.412473679,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"210","White Haven","PA",8.634938838,85.03348624,2.142602974,424.4169312,"One-family house detached from any other house","3"
"212","Chicago","IL",9.759174312,71.12874618,NA,193.5566711,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","4"
"213","Randolph","NE",8.840672783,51.49770642,0.971910968,502.4716797,"One-family house detached from any other house","2"
"214","California","MD",14.05825688,92.97469419,1.480693521,20.28196335,"One-family house detached from any other house","4"
"215","Canonsburg","PA",10.53746177,86.09044343,1.754769841,345.6836243,"One-family house detached from any other house","2"
"216","Richmond","IN",10.77943425,83.16314985,0.926483949,313.1816711,"One-family house detached from any other house","4"
"217","Charleston","WV",12.77094801,90.53218654,1.867201694,299.3794556,"One-family house detached from any other house","3"
"218","Cedar Rapids","IA",8.786391437,68.48990826,1.016770145,275.0544434,"One-family house detached from any other house","2"
"220","Las Vegas","NV",17.15512232,11.21391437,0.121857966,991.2583618,"One-family house detached from any other house","3"
"222","Greensboro","NC",14.56414373,88.55282875,1.67546184,225.6538849,"One-family house detached from any other house","3"
"224","Mount Airy","NC",11.3808104,92.89434251,2.390558752,695.8827515,"One-family house detached from any other house","4"
"225","Highland","MI",8.57469419,63.89495413,1.098160204,279.9338989,"One-family house detached from any other house","3"
"226","Cedar Hill","TN",14.82522936,106.3435015,1.171221988,194.0680542,"One-family house detached from any other house","3"
"227","Madison","AL",15.94151376,114.7675076,1.581957906,220.6450043,"One-family house detached from any other house","4"
"228","JOHNSTOWN","PA",9.952752294,93.27461774,1.989854635,592.1291504,"One-family house detached from any other house","2"
"230","Stillwater","OK",15.92423547,72.7720948,0.705784373,311.9710999,"One-family house detached from any other house","4"
"231","Bethesda","MD",12.51139144,88.78639144,1.81817838,137.5811157,"One-family house detached from any other house","4"
"232","Merced","CA",16.72262997,27.45076453,1.708017869,140.3577728,"One-family house detached from any other house","3"
"233","Pittsburgh","PA",9.712461774,79.61674312,1.641202297,331.8135986,"One-family house detached from any other house","3"
"234","Maynard","MA",9.388990826,94.63203364,1.966573293,52.88596344,"One-family house detached from any other house","1"
"235","Louisville","KY",13.52308869,93.08256881,1.143208663,181.5480499,"One-family house detached from any other house","3"
"236","Walnut Creek","CA",14.09617737,41.10183486,1.317724109,115.6696014,"Duplex or two-family house (designed for two families)","3"
"237","Flat Rock","NC",14.38103976,113.0635321,2.555799501,448.561676,"One-family house detached from any other house","5"
"238","Denver","CO",8.978746177,29.55221713,0.720737433,1677.784668,"One-family house detached from any other house","4"
"239","Charleston","SC",18.67018349,102.3242355,2.986409751,3.003220558,"One-family house detached from any other house","3"
"240","Washington","DC",13.6970948,90.40053517,1.81817838,37.22084808,"Duplex or two-family house (designed for two families)","2"
"242","Portland","OR",10.72392966,91.80917431,1.927392495,120.6025009,"One-family house detached from any other house","4"
"243","Livermore","CA",13.85175841,44.68448012,1.317724109,247.8677826,"One-family house detached from any other house","4"
"244","Berwyn Heights","MD",13.6970948,90.40053517,1.81817838,37.22084808,"One-family house detached from any other house","2"
"245","Denver","CO",8.978746177,29.55221713,0.720737433,1677.784668,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","3"
"247","Belgium","WI",7.990061162,63.14136086,1.151347664,187.468338,"One-family house detached from any other house","3"
"248","Boulder","CO",7.221100917,32.97201835,0.677392489,1912.255859,"One-family house detached from any other house","4"
"249","South Kent","CT",8.895259939,98.1559633,2.138249549,266.0041809,"One-family house detached from any other house","3"
"250","Boylston","MA",8.581116208,98.13524465,2.157934581,170.2480621,"One-family house detached from any other house","3"
"251","Quakertown","NJ",9.860703364,99.49067278,2.082980009,165.7169495,"Duplex or two-family house (designed for two families)","1"
"252","Durham","NC",15.40512232,94.05412844,1.698932469,96.75722504,"One-family house detached from any other house","5"
"253","Durham","NC",14.44793578,93.73470948,1.698932469,190.2480621,"One-family house detached from any other house","3"
"254","Cheswick","PA",9.798318043,86.92905199,1.641202297,350.2911072,"One-family house detached from any other house","3"
"255","Tewksbury","MA",8.609633028,89.07270642,1.966573293,59.06277847,"Duplex or two-family house (designed for two families)","1"
"256","Los Alamitos","CA",16.55206422,24.44931193,1.13715173,35.27723312,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","2"
"257","Edina","MN",7.233333333,59.23409786,0.919291337,284.1616516,"One-family house detached from any other house","3"
"258","Newark","DE",11.8103211,92.14327217,1.691739853,81.75190735,"One-family house detached from any other house","4"
"260","Walhalla","SC",14.95856269,133.0756881,2.484630525,452.480011,"One-family house detached from any other house","4"
"261","Oatman","AZ",17.55420489,13.88570336,0.202112357,1009.482483,"One-family house detached from any other house","1"
"262","Dallas","TX",18.8132263,75.17469419,0.778656872,155.8502808,"One-family house detached from any other house","4"
"263","harrisburg","PA",10.84579511,84.23723242,1.714264089,164.0541687,"One-family house detached from any other house","3"
"264","Brinnon","WA",10.28356269,89.03990826,2.124810721,162.8851624,"One-family house detached from any other house","2"
"265","RALEIGH","NC",15.40512232,94.05412844,2.156420352,96.75722504,"One-family house detached from any other house","3"
"266","SUMMERVILLE","SC",18.57515291,103.1247706,3.342443974,4.99572134,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","3"
"268","Richland Center","WI",7.456651376,65.43929664,0.922887645,286.3158264,"One-family house detached from any other house","3"
"270","Woodbury","MN",7.066819572,58.93845566,0.998220779,280.3152771,"One-family house detached from any other house","4"
"271","Durham","NC",15.40512232,94.05412844,1.698932469,96.75722504,"One-family house detached from any other house","4"
"272","Morrisville","NC",15.40512232,94.05412844,1.698932469,96.75722504,"One-family house detached from any other house","3"
"273","Somerville","MA",9.388990826,94.63203364,NA,52.88596344,"Duplex or two-family house (designed for two families)","4"
"274","Alexandria","VA",14.01888379,87.26605505,1.81817838,64.78483582,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","3"
"275","St. Petersburg","FL",22.52897554,113.0506116,1.467443971,4.501904964,"One-family house detached from any other house","3"
"276","Sewell","NJ",12.40282875,91.6633792,1.464604782,25.62282181,"One-family house detached from any other house","4"
"277","Roanoke","VA",13.63547401,88.97614679,2.506019069,358.2038879,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"278","concord","MA",9.388990826,94.63203364,1.966573293,52.88596344,"One-family house detached from any other house","5"
"279","canyon","TX",14.72545872,38.16345566,0.484706239,1060.003906,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"280","Wethersfield","CT",9.477905199,95.34373089,2.113075408,97.82694244,"One-family house detached from any other house","3"
"281","Franklinton","NC",14.54518349,92.76712538,2.156420352,137.7061157,"One-family house detached from any other house","3"
"282","Richmond","VA",14.20412844,94.11980122,1.931935193,35.59749985,"One-family house detached from any other house","4"
"283","Littleton","MA",7.73264526,92.51964832,1.966573293,205.5700073,"One-family house detached from any other house","3"
"285","Chicago","IL",9.759174312,71.12874618,NA,193.5566711,"One-family house detached from any other house","2"
"286","Philadelphia","PA",12.40282875,91.6633792,1.236334048,25.62282181,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","2"
"287","Philadelphia","PA",12.40282875,91.6633792,1.464604782,25.62282181,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","2"
"288","Fort Salonga","NY",11.28631498,95.98723242,2.179701704,28.31988716,"One-family house detached from any other house","5"
